x,y,t
-2284,-3912,1734032167.702042
-2298,-3912,1734032167.7920425
-2312,-3922,1734032168.6010425
-2326,-3932,1734032169.203042
-2340,-3942,1734032170.6650438
-2354,-3952,1734032171.8765647
-2368,-3962,1734032172.609563
-2382,-3972,1734032173.6965642
-2396,-3982,1734032175.1695657
-2411,-3992,1734032175.2115657
-2425,-3992,1734032175.255564
-2440,-4002,1734032175.2995632
-2454,-4012,1734032175.3435671
-2468,-4022,1734032177.8205676
-2482,-4032,1734032178.508566
-2500,-4127,1734032178.8975646
-2514,-4127,1734032181.279563
-2528,-4127,1734032182.0980823
-2542,-4117,1734032183.2190814
-2557,-4117,1734032183.690601
-2571,-4117,1734032183.7796009
-2585,-4117,1734032183.8246021
-2599,-4127,1734032190.3366163
-2614,-4137,1734032194.3801897
-2628,-4147,1734032194.4230428
-2644,-4157,1734032194.4660416
-2658,-4167,1734032194.5130894
-2676,-4262,1734032199.0541148
-2690,-4272,1734032199.8211148
-2704,-4272,1734032200.333116
-2718,-4282,1734032201.6351323
-2732,-4292,1734032201.679891
-2746,-4302,1734032201.7214088
-2763,-4397,1734032202.3664234
-2777,-4387,1734032205.574425
-2795,-4482,1734032205.6164267
-2814,-4577,1734032207.7464228
-2828,-4567,1734032209.3074245
-2842,-4557,1734032210.7675738
-2855,-4543,1734032210.813496
-2869,-4533,1734032217.5800343
-2883,-4533,1734032220.8610444
-2899,-4523,1734032220.903043
-2913,-4523,1734032220.9470448
-2928,-4523,1734032220.9890435
-2942,-4533,1734032230.3830929
-2956,-4543,1734032230.470089
-2970,-4553,1734032231.9370892
-2984,-4563,1734032233.2290895
-2998,-4573,1734032233.2710886
-3012,-4583,1734032233.31509
-3026,-4573,1734032234.829607
-3040,-4573,1734032234.916607
-3054,-4583,1734032235.7706087
-3068,-4593,1734032235.8616102
-3082,-4603,1734032235.9046106
-3096,-4603,1734032240.001645
-3110,-4613,1734032241.130659
-3124,-4603,1734032241.5866606
-3138,-4593,1734032241.6306584
-3153,-4583,1734032241.717662
-3167,-4593,1734032244.3206587
-3181,-4603,1734032246.7566714
-3195,-4613,1734032251.522674
-3209,-4623,1734032251.650671
-3223,-4633,1734032254.178192
-3237,-4643,1734032256.8887138
-3251,-4653,1734032260.1827168
-3265,-4663,1734032260.229716
-3279,-4673,1734032260.272714
-3300,-4768,1734032261.047233
-3322,-4863,1734032261.181233
-3332,-4849,1734032263.622236
-3346,-4839,1734032268.3221738
-3360,-4829,1734032268.406171
-3374,-4819,1734032270.0571733
-3388,-4809,1734032270.1461728
-3402,-4799,1734032275.1571717
-3416,-4789,1734032275.248173
-3430,-4779,1734032279.7491727
-3444,-4779,1734032280.4421716
-3458,-4769,1734032280.4851716
-3472,-4779,1734032296.590248
-3486,-4789,1734032305.7392864
-3500,-4799,1734032305.9132874
-3514,-4809,1734032312.4068189
-3528,-4819,1734032313.233818
-3542,-4831,1734032313.4468184
-3556,-4843,1734032313.4898179
-3570,-4853,1734032313.5308182
-3580,-4839,1734032318.0313375
-3590,-4825,1734032319.9433348
-3600,-4811,1734032320.6383393
-3610,-4796,1734032320.6823394
-3620,-4782,1734032320.7242012
-3630,-4768,1734032321.1142356
-3640,-4754,1734032321.1562355
-3665,-4849,1734032321.1992347
-3675,-4832,1734032321.4142358
-3685,-4815,1734032321.4552362
-3695,-4796,1734032321.4982355
-3705,-4778,1734032321.543236
-3715,-4760,1734032321.586235
-3740,-4855,1734032321.6322355
-3764,-4950,1734032321.7162356
-3764,-4936,1734032321.7572358
-3754,-4922,1734032321.8002343
-3744,-4904,1734032321.8466043
-3734,-4879,1734032321.8896139
-3724,-4853,1734032321.9336138
-3714,-4824,1734032321.979615
-3704,-4799,1734032322.0226147
-3704,-4779,1734032322.1066291
-3728,-4874,1734032322.149629
-3718,-4858,1734032322.1976292
-3718,-4840,1734032322.2416296
-3718,-4822,1734032322.285629
-3718,-4801,1734032322.3316295
-3718,-4780,1734032322.373629
-3708,-4755,1734032322.4166293
-3732,-4850,1734032322.4575512
-3722,-4834,1734032322.5008302
-3712,-4819,1734032322.546703
-3739,-4914,1734032322.5895886
-3729,-4898,1734032322.6335866
-3719,-4878,1734032322.6806052
-3709,-4856,1734032322.7236032
-3699,-4828,1734032322.7676027
-3689,-4798,1734032322.8136032
-3699,-4770,1734032322.856603
-3724,-4865,1734032322.8996043
-3724,-4842,1734032322.9416034
-3724,-4822,1734032322.9856048
-3714,-4804,1734032323.0316043
-3704,-4785,1734032323.0766025
-3694,-4763,1734032323.119602
-3694,-4737,1734032323.164602
-3694,-4714,1734032323.2086062
-3694,-4689,1734032323.2506032
-3684,-4668,1734032323.2986033
-3684,-4650,1734032323.3466024
-3674,-4636,1734032323.389602
-3699,-4731,1734032323.5606046
-3699,-4715,1734032323.6036043
-3699,-4699,1734032323.6506038
-3699,-4682,1734032323.6926036
-3689,-4665,1734032323.7356045
-3689,-4647,1734032323.781604
-3679,-4631,1734032323.8246026
-3669,-4615,1734032323.868603
-3659,-4601,1734032323.9146032
-3649,-4584,1734032323.9566023
-3639,-4568,1734032323.9996018
-3649,-4554,1734032324.0446053
-3649,-4536,1734032324.0866013
-3668,-4631,1734032324.2566028
-3668,-4614,1734032324.4696028
-3668,-4593,1734032324.5146043
-3678,-4575,1734032324.5566025
-3678,-4553,1734032324.600602
-3697,-4648,1734032324.8086066
-3687,-4634,1734032324.9816053
-3712,-4729,1734032325.0226054
-3738,-4824,1734032325.0656068
-3728,-4804,1734032325.1086056
-3718,-4785,1734032325.1506069
-3708,-4761,1734032325.1976037
-3698,-4733,1734032325.240605
-3688,-4701,1734032325.2836053
-3678,-4668,1734032325.326606
-3668,-4638,1734032325.3706048
-3658,-4611,1734032325.4166021
-3648,-4587,1734032325.4566066
-3638,-4564,1734032325.4996042
-3638,-4544,1734032325.5416062
-3638,-4526,1734032325.5846047
-3648,-4510,1734032325.6316037
-3648,-4492,1734032325.6746066
-3648,-4474,1734032325.717605
-3658,-4457,1734032325.7646058
-3658,-4442,1734032325.8066037
-3658,-4428,1734032325.8496032
-3675,-4523,1734032325.893604
-3675,-4509,1734032326.1506047
