x,y,t
-12639,-10720,1729273228.4816287
-12604,-10782,1729273228.5016422
-12570,-10844,1729273228.524642
-12538,-10903,1729273228.5441108
-12507,-10960,1729273228.5691183
-12479,-11016,1729273228.5841184
-12454,-11069,1729273228.6091187
-12433,-11120,1729273228.635118
-12413,-11169,1729273228.6591191
-12402,-11206,1729273228.683118
-12392,-11241,1729273228.7081182
-12382,-11276,1729273228.7301323
-12372,-11312,1729273228.7511334
-12362,-11347,1729273228.777086
-12351,-11382,1729273228.806093
-12340,-11416,1729273228.8300924
-12329,-11449,1729273228.8491066
-12318,-11481,1729273228.880107
-12307,-11511,1729273228.9090228
-12294,-11540,1729273228.931058
-12282,-11568,1729273228.9510372
-12271,-11595,1729273228.969037
-12261,-11620,1729273228.9960394
-12251,-11644,1729273229.0200372
-12240,-11667,1729273229.0350373
-12229,-11688,1729273229.0590367
-12218,-11708,1729273229.0820365
-12207,-11725,1729273229.095037
-12196,-11741,1729273229.1170523
-12186,-11755,1729273229.138051
-12176,-11769,1729273229.1640453
-12166,-11782,1729273229.1800685
-12156,-11796,1729273229.203069
-12146,-11812,1729273229.21907
-12136,-11828,1729273229.2449553
-12126,-11846,1729273229.2619646
-12116,-11863,1729273229.2889793
-12106,-11879,1729273229.306978
-12096,-11893,1729273229.330894
-12086,-11905,1729273229.351896
-12076,-11915,1729273229.3728955
-12066,-11925,1729273229.3895774
-12056,-11935,1729273229.4095767
-12046,-11945,1729273229.4315765
-12036,-11955,1729273229.4541464
-12026,-11965,1729273229.4731445
-12016,-11975,1729273229.4931443
-12006,-11985,1729273229.5141444
-11996,-11995,1729273229.5372944
-11986,-12005,1729273229.5612946
-11976,-12015,1729273229.5812938
-11966,-12025,1729273229.5992942
-11956,-12035,1729273229.6202173
-11946,-12045,1729273229.6423347
-11936,-12055,1729273229.663358
-11926,-12065,1729273229.6853554
-11916,-12075,1729273229.707357
-11906,-12085,1729273229.7293558
-11896,-12095,1729273229.7503564
-11886,-12095,1729273229.7743561
-11876,-12085,1729273229.7893567
-11866,-12075,1729273229.8123555
-11856,-12065,1729273229.8339903
-11846,-12055,1729273229.855
-11836,-12043,1729273229.8739998
-11836,-12029,1729273229.9002812
-11836,-12016,1729273229.9182904
-11836,-12005,1729273229.9353058
-11846,-11995,1729273229.9538023
-11856,-11985,1729273229.9850445
-11866,-11975,1729273230.0079641
-11876,-11965,1729273230.0259643
-11886,-11955,1729273230.0469635
-11896,-11945,1729273230.0669591
-11906,-11935,1729273230.0889688
-11916,-11924,1729273230.1065793
-11926,-11912,1729273230.1275954
-11936,-11899,1729273230.146593
-11936,-11885,1729273230.168594
-11926,-11869,1729273230.193597
-11916,-11852,1729273230.217594
-11906,-11835,1729273230.2335985
-11896,-11819,1729273230.2546077
-11886,-11801,1729273230.2812526
-11876,-11782,1729273230.2986045
-11866,-11762,1729273230.3156116
-11856,-11743,1729273230.3386116
-11846,-11724,1729273230.3626268
-11836,-11704,1729273230.3780084
-11826,-11683,1729273230.4030173
-11816,-11662,1729273230.4195309
-11806,-11642,1729273230.4385374
-11796,-11622,1729273230.4650366
-11786,-11604,1729273230.4850368
-11776,-11586,1729273230.5090373
-11766,-11570,1729273230.5260503
-11756,-11556,1729273230.5480504
-11746,-11545,1729273230.5710504
-11736,-11534,1729273230.5940511
-11726,-11523,1729273230.6104507
-11716,-11512,1729273230.63446
-11706,-11501,1729273230.658459
-11696,-11490,1729273230.6765518
-11686,-11478,1729273230.7004685
-11676,-11466,1729273230.7174761
-11666,-11455,1729273230.7394917
-11656,-11444,1729273230.7584896
-11645,-11433,1729273230.782493
-11633,-11422,1729273230.7964897
-11621,-11411,1729273230.8174913
-11610,-11400,1729273230.8424895
-11600,-11388,1729273230.8594897
-11590,-11375,1729273230.8817525
-11580,-11363,1729273230.9037516
-11570,-11352,1729273230.9277532
-11560,-11342,1729273230.949752
-11550,-11332,1729273230.9663365
-11550,-11321,1729273230.9879072
-11560,-11310,1729273231.0149066
-11570,-11300,1729273231.031907
-11580,-11290,1729273231.0519066
-11590,-11279,1729273231.071921
-11600,-11267,1729273231.0976036
-11610,-11256,1729273231.1166131
-11620,-11245,1729273231.137628
-11630,-11234,1729273231.1616595
-11640,-11223,1729273231.1876602
-11640,-11213,1729273231.2026596
-11630,-11203,1729273231.2236605
-11620,-11193,1729273231.2436872
-11610,-11183,1729273231.264934
-11600,-11173,1729273231.2854793
-11590,-11163,1729273231.3048384
-11580,-11153,1729273231.3314748
-11570,-11143,1729273231.3494754
-11570,-11132,1729273231.370475
-11570,-11120,1729273231.3897989
-11560,-11109,1729273231.4118025
-11550,-11099,1729273231.4331694
-11540,-11089,1729273231.4486737
-11540,-11079,1729273231.4722507
-11540,-11069,1729273231.495651
-11540,-11059,1729273231.511651
-11540,-11049,1729273231.5322747
-11530,-11039,1729273231.5502825
-11520,-11029,1729273231.577767
-11510,-11019,1729273231.5996623
-11500,-11009,1729273231.6196709
-11490,-10999,1729273231.6393652
-11480,-10989,1729273231.6563818
-11470,-10979,1729273231.6781297
-11460,-10969,1729273231.700908
-11450,-10959,1729273231.7219043
-11440,-10949,1729273231.7409039
-11430,-10939,1729273231.760921
-11420,-10929,1729273231.7829201
-11410,-10919,1729273231.8049185
-11400,-10919,1729273231.8269186
-11390,-10919,1729273231.8449185
-11380,-10919,1729273231.8679185
-11370,-10909,1729273231.8889194
-11360,-10899,1729273231.907919
-11350,-10889,1729273231.9299185
-11340,-10879,1729273231.95539
-11330,-10879,1729273232.1525679
-11320,-10869,1729273232.1725767
-11320,-10859,1729273232.1936655
-11330,-10849,1729273232.2083082
-11340,-10839,1729273232.231648
-11350,-10829,1729273232.2497923
-11360,-10819,1729273232.2720842
-11350,-10829,1729273232.3150811
-11340,-10839,1729273232.3375676
-11330,-10849,1729273232.3555694
-11320,-10859,1729273232.3799033
-11320,-10869,1729273232.4030955
-11320,-10879,1729273232.4160964
-11330,-10879,1729273232.439098
-11340,-10869,1729273232.459473
-11350,-10859,1729273232.482473
-11360,-10849,1729273232.5021894
-11370,-10839,1729273232.5232584
-11380,-10829,1729273232.5452557
-11390,-10819,1729273232.5660133
-11400,-10809,1729273232.585023
-11410,-10799,1729273232.6051676
-11420,-10809,1729273232.6322289
-11430,-10819,1729273232.6509793
-11440,-10829,1729273232.6729972
-11450,-10839,1729273232.693395
-11460,-10839,1729273232.7123954
-11470,-10829,1729273232.733395
-11480,-10819,1729273232.756395
-11490,-10809,1729273232.7782652
-11500,-10799,1729273232.7962563
-11510,-10788,1729273232.8172588
-11520,-10777,1729273232.8400156
-11530,-10767,1729273232.8610134
-11540,-10757,1729273232.88037
-11550,-10747,1729273232.9013717
-11560,-10737,1729273232.9243696
-11570,-10727,1729273232.9414995
-11580,-10717,1729273232.9655282
-11570,-10707,1729273232.9855278
-11560,-10697,1729273233.0078366
-11550,-10687,1729273233.0308902
-11537,-10677,1729273233.0508916
-11522,-10667,1729273233.0708904
-11506,-10657,1729273233.0938902
-11488,-10646,1729273233.11189
-11469,-10633,1729273233.1338906
-11449,-10619,1729273233.1578898
-11429,-10605,1729273233.1728902
-11410,-10591,1729273233.1984918
-11392,-10577,1729273233.2165012
-11374,-10561,1729273233.2365153
-11355,-10545,1729273233.2613292
-11334,-10529,1729273233.2843273
-11310,-10513,1729273233.3043272
-11271,-10494,1729273233.3403287
-11227,-10473,1729273233.3583279
-11181,-10452,1729273233.3769755
-11131,-10431,1729273233.3959756
-11078,-10410,1729273233.4189758
-11021,-10389,1729273233.4440377
-10961,-10366,1729273233.4599082
-10898,-10344,1729273233.483924
-10833,-10321,1729273233.506798
-10764,-10296,1729273233.522305
-10691,-10269,1729273233.5447314
-10612,-10242,1729273233.5657547
-10530,-10214,1729273233.5859768
-10442,-10186,1729273233.6083002
-10348,-10158,1729273233.633664
-10253,-10129,1729273233.651363
-10158,-10099,1729273233.686316
-10063,-10069,1729273233.7199786
-9968,-10039,1729273233.8392417
-9873,-10017,1729273233.8770092
-9778,-9996,1729273233.9450665
-9683,-9976,1729273234.1917355
-9588,-9924,1729273234.7540474
-9578,-9894,1729273234.7669904
-9568,-9863,1729273234.792754
-9578,-9832,1729273234.8117535
-9588,-9803,1729273234.8337553
-9598,-9775,1729273234.8547542
-9598,-9752,1729273234.874756
-9588,-9736,1729273234.8978295
-9578,-9726,1729273234.9148498
-9567,-9736,1729273234.9388504
-9553,-9750,1729273234.9568672
-9537,-9771,1729273234.980867
-9519,-9795,1729273235.0028687
-9498,-9825,1729273235.0321152
-9474,-9868,1729273235.0571208
-9453,-9914,1729273235.0781186
-9435,-9961,1729273235.1011183
-9425,-9999,1729273235.1221204
-9425,-10037,1729273235.1380017
-9435,-10076,1729273235.160001
-9445,-10119,1729273235.1830027
-9455,-10177,1729273235.2049997
-9465,-10240,1729273235.2269993
-9475,-10309,1729273235.252653
-9488,-10383,1729273235.26966
-9503,-10464,1729273235.2906597
-9519,-10550,1729273235.3126602
-9542,-10645,1729273235.3348107
-9568,-10740,1729273235.355543
-9598,-10835,1729273235.376542
-9630,-10930,1729273235.4005427
-9665,-11025,1729273235.4196212
-9700,-11120,1729273235.4431586
-9732,-11215,1729273235.4604957
-9764,-11310,1729273235.482514
-9795,-11405,1729273235.5035095
-9825,-11500,1729273235.5225122
-9853,-11595,1729273235.547836
-9882,-11690,1729273235.5668342
-9914,-11785,1729273235.582835
-9946,-11880,1729273235.609061
-9978,-11975,1729273235.6300697
-10011,-12070,1729273235.656906
-10045,-12165,1729273235.677068
-10080,-12260,1729273235.6920762
-10117,-12355,1729273235.7160947
-10156,-12450,1729273235.7410939
-10198,-12545,1729273235.7642324
-10244,-12640,1729273235.7842588
-10297,-12735,1729273235.806261
-10358,-12830,1729273235.826321
-10426,-12925,1729273235.8488307
-10498,-13020,1729273235.868831
-10579,-13115,1729273235.8930256
-10667,-13210,1729273235.91029
-10761,-13305,1729273235.9320345
-10856,-13400,1729273235.952915
-10951,-13495,1729273235.9689224
-11046,-13590,1729273235.9919374
-11141,-13685,1729273236.015937
-11236,-13780,1729273236.0419364
-11331,-13875,1729273236.058259
-11426,-13970,1729273236.0812604
-11521,-14065,1729273236.1032603
-11616,-14155,1729273236.1232612
-11711,-14241,1729273236.1480289
-11806,-14321,1729273236.1657476
-11901,-14395,1729273236.1867561
-11996,-14464,1729273236.2057571
-12091,-14528,1729273236.231359
-12186,-14587,1729273236.2523713
-12281,-14642,1729273236.273401
-12376,-14694,1729273236.292402
-12471,-14743,1729273236.3134146
-12566,-14788,1729273236.336417
-12661,-14830,1729273236.3554144
-12756,-14867,1729273236.3804169
-12851,-14895,1729273236.399292
-12946,-14916,1729273236.4172988
-13041,-14931,1729273236.4359436
-13136,-14941,1729273236.4599452
-13231,-14951,1729273236.4779441
-13326,-14941,1729273236.5019438
-13421,-14931,1729273236.5169437
-13516,-14917,1729273236.5399442
-13611,-14899,1729273236.5642061
-13706,-14878,1729273236.5802147
-13801,-14855,1729273236.6017962
-13896,-14830,1729273236.622814
-13991,-14802,1729273236.6438136
-14086,-14772,1729273236.666664
-14181,-14740,1729273236.6849823
-14276,-14703,1729273236.7049825
-14371,-14659,1729273236.7269995
-14466,-14610,1729273236.7533114
-14561,-14557,1729273236.768319
-14656,-14501,1729273236.7893195
-14751,-14443,1729273236.8123193
-14846,-14385,1729273236.8313189
-14941,-14325,1729273236.8523188
-15036,-14263,1729273236.876264
-15131,-14201,1729273236.8932712
-15226,-14139,1729273236.9202907
-15321,-14077,1729273236.9382858
-15416,-14017,1729273236.960637
-15511,-13956,1729273236.9796338
-15606,-13894,1729273236.9976327
-15701,-13831,1729273237.0246332
-15796,-13767,1729273237.0496328
-15891,-13703,1729273237.065404
-15986,-13640,1729273237.0904026
-16081,-13581,1729273237.1164021
-16176,-13525,1729273237.131932
-16271,-13469,1729273237.1539428
-16366,-13413,1729273237.1789422
-16461,-13357,1729273237.1973107
-16556,-13298,1729273237.216334
-16651,-13236,1729273237.2373335
-16746,-13169,1729273237.263333
-16841,-13095,1729273237.2823334
